wordnet_entry	translation	status	phrase	masc	pnt	concrete_n	concrete_pn	abstract_n	abstract_pn
alger_SN	ألجر		0		SN	"lin 'ألجر_sn_N' = mkN hum (wmkN {sg = ""ألجر"" ; pl = ""ألجر"" }) ;"	lin 'ألجر_sn_PN' = mkPN 'ألجر_sn_N' ;	fun 'ألجر_sn_N' : N ;	fun 'ألجر_sn_PN' : PN ;
ali_SN	علي	google-translated	0		SN	"lin 'علي_sn_N' = mkN hum (wmkN {sg = ""علي"" ; pl = ""علي"" }) ;"	lin 'علي_sn_PN' = mkPN 'علي_sn_N' ;	fun 'علي_sn_N' : N ;	fun 'علي_sn_PN' : PN ;
allen_SN	ألين	google-translated	0		SN	"lin 'ألين_sn_N' = mkN hum (wmkN {sg = ""ألين"" ; pl = ""ألين"" }) ;"	lin 'ألين_sn_PN' = mkPN 'ألين_sn_N' ;	fun 'ألين_sn_N' : N ;	fun 'ألين_sn_PN' : PN ;
anthony_SN	أنتوني	google-translated	0		SN	"lin 'أنتوني_sn_N' = mkN hum (wmkN {sg = ""أنتوني"" ; pl = ""أنتوني"" }) ;"	lin 'أنتوني_sn_PN' = mkPN 'أنتوني_sn_N' ;	fun 'أنتوني_sn_N' : N ;	fun 'أنتوني_sn_PN' : PN ;
bacon_SN	بيكون		0		SN	"lin 'بيكون_sn_N' = mkN hum (wmkN {sg = ""بيكون"" ; pl = ""بيكون"" }) ;"	lin 'بيكون_sn_PN' = mkPN 'بيكون_sn_N' ;	fun 'بيكون_sn_N' : N ;	fun 'بيكون_sn_PN' : PN ;
baedeker_SN	باديكير	google-translated	0		SN	"lin 'باديكير_sn_N' = mkN hum (wmkN {sg = ""باديكير"" ; pl = ""باديكير"" }) ;"	lin 'باديكير_sn_PN' = mkPN 'باديكير_sn_N' ;	fun 'باديكير_sn_N' : N ;	fun 'باديكير_sn_PN' : PN ;
bailey_SN	بيلي	google-translated	0		SN	"lin 'بيلي_sn_N' = mkN hum (wmkN {sg = ""بيلي"" ; pl = ""بيلي"" }) ;"	lin 'بيلي_sn_PN' = mkPN 'بيلي_sn_N' ;	fun 'بيلي_sn_N' : N ;	fun 'بيلي_sn_PN' : PN ;
balboa_SN	بالبوا	google-translated	0		SN	"lin 'بالبوا_sn_N' = mkN hum (wmkN {sg = ""بالبوا"" ; pl = ""بالبوا"" }) ;"	lin 'بالبوا_sn_PN' = mkPN 'بالبوا_sn_N' ;	fun 'بالبوا_sn_N' : N ;	fun 'بالبوا_sn_PN' : PN ;
ball_SN	بول		0		SN	"lin 'بول_sn_N' = mkN hum (wmkN {sg = ""بول"" ; pl = ""بول"" }) ;"	lin 'بول_sn_PN' = mkPN 'بول_sn_N' ;	fun 'بول_sn_N' : N ;	fun 'بول_sn_PN' : PN ;
bannister_SN	بانيستر	google-translated	0		SN	"lin 'بانيستر_sn_N' = mkN hum (wmkN {sg = ""بانيستر"" ; pl = ""بانيستر"" }) ;"	lin 'بانيستر_sn_PN' = mkPN 'بانيستر_sn_N' ;	fun 'بانيستر_sn_N' : N ;	fun 'بانيستر_sn_PN' : PN ;
banting_SN	بانتينج	google-translated	0		SN	"lin 'بانتينج_sn_N' = mkN hum (wmkN {sg = ""بانتينج"" ; pl = ""بانتينج"" }) ;"	lin 'بانتينج_sn_PN' = mkPN 'بانتينج_sn_N' ;	fun 'بانتينج_sn_N' : N ;	fun 'بانتينج_sn_PN' : PN ;
barber_SN	باربر		0		SN	"lin 'باربر_sn_N' = mkN hum (wmkN {sg = ""باربر"" ; pl = ""باربر"" }) ;"	lin 'باربر_sn_PN' = mkPN 'باربر_sn_N' ;	fun 'باربر_sn_N' : N ;	fun 'باربر_sn_PN' : PN ;
