# P20
# مكان الوفاة
1,مكان,مَكَان,NOUN,N------S1R,0,root
2[2-3],الوفاة,وَفَاة[_],NOUN[_],N------S2D[_],1[_],nmod[_]
<none>[2],<none>[ال],<none>[اَل],<none>[PART],<none>[F---------],<none>[1],<none>[nmod]
<none>[3],<none>[وفاة],<none>[وَفَاة],<none>[NOUN],<none>[N------S2I],<none>[1],<none>[nmod]

# P26
# الزَّوج
1,الزَّوج,زَاَلِيجَة[زَََّوُج],NOUN,N------S1D,0,root

# P31
# نموذج من
1,نموذج,نَمُوذَج,NOUN,N------S1I,0,root
2,من,مِن,ADP,P---------,1,punct[case]

# P50
# المُؤَلِّف
1,المُؤَلِّف,مُُؤَلَِّ[المُؤَلِّف],NOUN,N------S1D,0,root

# P57
# المُخرِج
1,المُخرِج,مُخَخرَِج[مَُُخِّر],NOUN,N------S1D,0,root

# P58
# كاتب السيناريو
1,كاتب,كَاتِب[كاتب],NOUN[X],N------S1R[U---------],0,root
2,السيناريو,السيناريو,X,U---------,1,nmod

# P61
# المكتشف أو المخترع
1,المكتشف,مُكتَشِف[المكتشف],ADJ[X],A-----MS1D[U---------],0,root
2,أو,أَو,CCONJ,C---------,3,cc
3,المخترع,مُختَرِع[مُختَرَع],NOUN[ADJ],N------S1D,1,conj

# P66
# منشأ
1,منشأ,مَنشَأ[منشأ],NOUN[X],N------S1I[U---------],0,root

# P69
# تعلَّم في
1,تعلَّم,تَعَلَّم[عَلََّم],VERB,VCJ---MS--[VIIA-2MS--],0,root
2,في,فِي,ADP,P---------,1,punct[case]

# P81
# الخط الرابط
1,الخط,خَطّ,NOUN,N------S1D,0,root
2,الرابط,رَابِط,NOUN[ADJ],N------S1D[A-----MS1D],1,nmod[amod]

# P86
# المُلحِّن
1,المُلحِّن,المُلحِّن[مَُلُحِ],X[NOUN],U---------[N------S1D],0,root

# P87
# واضع كلمات الأوبرا
1-2[1],واضع,_[وَاضِع],_[ADJ],_[A-----MS1R],_[0],_[root]
1[2],و[كلمات],وَ[كَلِمَة],CCONJ[NOUN],C---------[N------P2R],0[1],root[nmod]
2[3],أضع[الأوبرا],وَضَع[الأوبرا],VERB[X],VIIA-1MS--[U---------],1[2],parataxis[nmod]
3[<none>],كلمات[<none>],كَلِمَة[<none>],NOUN[<none>],N------P4R[<none>],2[<none>],obj[<none>]
4[<none>],الأوبرا[<none>],أُوبُر[<none>],NOUN[<none>],N------S2D[<none>],3[<none>],nmod[<none>]

# P88
# بطلب من
1[1-2],بطلب,بطلب[_],X[_],U---------[_],0[_],root[_]
2[1],من[ب],مِن[بِ],ADP,P---------,1[2],punct[case]
<none>[2],<none>[طلب],<none>[طَلَب],<none>[NOUN],<none>[N------S2I],<none>[0],<none>[root]
<none>[3],<none>[من],<none>[مِن],<none>[ADP],<none>[P---------],<none>[2],<none>[case]

# P98
# المٌحرِّر
1,المٌحرِّر,المٌحرِّر,X[NOUN],U---------[N------S1D],0,root

# P103
# اللغة الأم
1,اللغة,لُغَة,NOUN,N------S1D,0,root
2,اﻷم,اﻷم,X[ADJ],U---------,1,nmod[dep]

# P106
# المهنة
1,المهنة,مِهنَة[المهنة],NOUN,N------S1D,0,root

# P108
# ربُّ العمل
1,ربُّ,ربُّ,X[NOUN],U---------,0,root
2,العمل,عَمَل,NOUN,N------S4D[N------S2D],1,obj[nmod]

# P111
# وحدة لقياس
