,wordnet_entry,translation,status,phrase
0,adam_GN,آدم,google-translated,
1,adrian_GN,أدريان,google-translated,
2,agatha_GN,أجاثا,google-translated,
3,aggie_GN,آجي,google-translated,
4,agnes_GN,أغنيس,google-translated,
5,alan_GN,آلان,google-translated,
6,albert_GN,ألبرت,google-translated,
7,alex_GN,أليكس,google-translated,
8,alexandra_GN,الكسندرا,google-translated,
9,alf_GN,ألف,google-translated,
10,alfred_GN,ألفريد,google-translated,
11,alice_GN,أليس,google-translated,
12,alison_GN,أليسون,google-translated,
13,allan_GN,آلان,google-translated,
14,amanda_GN,أماندا,google-translated,
15,amy_GN,إيمي,google-translated,
16,andy_GN,آندي,google-translated,
17,angela_GN,أنجيلا,google-translated,
18,angie_GN,أنجي,google-translated,
19,anita_GN,أنيتا,google-translated,
20,ann_GN,آن,google-translated,
21,anna_GN,آنا,google-translated,
22,annabel_GN,أنابيل,google-translated,
23,anne_GN,آن,google-translated,
24,annie_GN,آني,google-translated,
25,anon_GN,آنون,,
26,anthea_GN,أنثيا,google-translated,
27,arnold_GN,أرنولد,google-translated,
28,art_GN,آرت,,
29,artie_GN,أرتي,google-translated,
30,audrey_GN,أودري,google-translated,
31,babs_GN,بابس,google-translated,
32,barbara_GN,باربرا,google-translated,
33,beatrice_GN,بياتريس,google-translated,
34,belinda_GN,بليندا,google-translated,
35,bella_GN,بيلا,google-translated,
36,belle_GN,بِل,,
37,ben_GN,بن,google-translated,
38,bernie_GN,بيرني,google-translated,
39,bert_GN,بيرت,google-translated,
40,bertie_GN,بيرتي,google-translated,
41,beryl_GN,البريل,google-translated,
42,bess_GN,بيس,google-translated,
43,bessie_GN,بيسي,google-translated,
44,betsy_GN,بيتسي,google-translated,
45,betty_GN,بيتي,google-translated,
46,bill_GN,بيل,,
47,billy_GN,بيلي,google-translated,
48,bob_GN,بوب,google-translated,
49,bobby_GN,بوبي,google-translated,
50,boris_GN,بوريس,google-translated,
51,brenda_GN,بريندا,google-translated,
52,brian_GN,بريان,google-translated,
53,carl_GN,كارل,google-translated,
54,carol_GN,كارول,google-translated,
55,carole_GN,كارول,google-translated,
56,caroline_GN,كارولين,google-translated,
57,carolyn_GN,كارولين,google-translated,
58,carrie_GN,كاري,google-translated,
59,cath_GN,كاث,google-translated,
60,catherine_GN,كاثرين,google-translated,
61,cathy_GN,كاثي,google-translated,
62,cecil_GN,سيسيل,google-translated,
63,cecilia_GN,سيسيليا,google-translated,
64,cecily_GN,سيسلي,google-translated,
65,cedric_GN,سيدريك,google-translated,
66,celia_GN,سيليا,google-translated,
67,charles_GN,تشارلز,google-translated,
68,charlie_GN,تشارلي,google-translated,
69,chloe_GN,كلوي,google-translated,
70,chris_GN,كريس,google-translated,
71,chrissie_GN,كريسي,google-translated,
72,chrissy_GN,كريسي,google-translated,
73,christian_GN,كريستيان,google-translated,
74,christina_GN,كريستينا,google-translated,
75,christine_GN,كريستين,google-translated,
76,christopher_GN,كريستوفر,google-translated,
77,clarrie_GN,كلاري,google-translated,
78,clem_GN,كليم,google-translated,
79,clement_GN,كليمنت,google-translated,
80,cliff_GN,كليف,,
81,clifford_GN,كليفورد,google-translated,
82,colin_GN,كولِن,google-translated,
83,connie_GN,كوني,google-translated,
84,cyril_GN,سيريل,google-translated,
85,daisy_GN,ديزي,google-translated,
86,dan_GN,دان,google-translated,
87,danny_GN,داني,google-translated,
88,dave_GN,ديف,google-translated,
89,david_GN,ديفيد,google-translated,
90,dawn_GN,دون,,
91,debbie_GN,ديبي,google-translated,
92,debby_GN,ديبي,google-translated,
93,deborah_GN,ديبورا,google-translated,
94,deirdre_GN,ديردري,google-translated,
95,denis_GN,دينيس,google-translated,
96,denise_GN,دينيس,google-translated,
97,dennis_GN,دينيس,google-translated,
98,denny_GN,ديني,google-translated,
99,derek_GN,ديريك,google-translated,
100,des_GN,ديس,google-translated,
101,desmond_GN,ديزموند,google-translated,
102,diana_GN,ديانا,google-translated,
103,dick_GN,دِك,,
104,dicky_GN,ديكي,google-translated,
105,dolly_GN,دوللي,google-translated,
106,donald_GN,دونالد,google-translated,
107,dora_GN,دورا,google-translated,
108,doreen_GN,دورين,google-translated,
109,dorothy_GN,دوروثي,google-translated,
110,doug_GN,دوغ,google-translated,
111,eddie_GN,إيدي,google-translated,
112,edgar_GN,إدغار,google-translated,
113,edith_GN,إديث,google-translated,
114,edmund_GN,إدموند,,
115,edward_GN,إدوارد,google-translated,
116,eileen_GN,إيلين,google-translated,
117,elaine_GN,إلين,,
118,eleanor_GN,إليانور,google-translated,
119,eliza_GN,إليزا,google-translated,
120,elizabeth_GN,إليزابيث,google-translated,
121,ellen_GN,إلين,google-translated,
122,ellie_GN,إيلي,,
123,elsie_GN,إلسي,google-translated,
124,emily_GN,إميلي,google-translated,
125,emma_GN,إيما,google-translated,
126,eric_GN,إريك,,
127,ernest_GN,إرنست,google-translated,
128,ernie_GN,إرني,google-translated,
129,ethel_GN,إثيل,google-translated,
130,eugene_GN,يوجين,google-translated,
131,eunice_GN,يونيس,google-translated,
132,eva_GN,إيفا,google-translated,
133,evelyn_GN,إيفلين,google-translated,
134,fanny_GN,فاني,google-translated,
135,felicity_GN,فيليسيتي,google-translated,
136,felix_GN,فيليكس,google-translated,
137,fiona_GN,فيونا,google-translated,
138,flora_GN,فلورا,,
139,florence_GN,فلورنسا,google-translated,
140,florrie_GN,فلوري,google-translated,
141,fran_GN,فران,google-translated,
142,frances_GN,فرانسيس,google-translated,
143,francis_GN,فرانسيس,google-translated,
144,frank_GN,فرانك,,
145,frankie_GN,فرانكي,google-translated,
146,fred_GN,فريد,google-translated,
147,freda_GN,فريدا,google-translated,
148,freddie_GN,فريدي,google-translated,
149,freddy_GN,فريدي,google-translated,
150,gareth_GN,غاريث,google-translated,
151,gavin_GN,جافين,google-translated,
152,geoff_GN,جيف,google-translated,
153,geoffrey_GN,جيفري,google-translated,
154,george_GN,جورج,google-translated,
155,georgie_GN,جورجي,google-translated,
156,gerald_GN,جيرالد,google-translated,
157,geraldine_GN,جيرالدين,google-translated,
158,gerard_GN,جيرارد,google-translated,
159,gertie_GN,جيرتي,google-translated,
160,gertrude_GN,جيرترود,google-translated,
161,giles_GN,جايلز,google-translated,
162,gill_GN,جِل,,
163,gillian_GN,جيليان,google-translated,
164,gina_GN,جينا,google-translated,
165,gladys_GN,غلاديس,google-translated,
166,glen_GN,جلين,google-translated,
167,gloria_GN,غلوريا,google-translated,
168,godfrey_GN,جودفري,google-translated,
169,greg_GN,جريج,google-translated,
170,gregory_GN,غريغوري,google-translated,
171,guy_GN,غاي,,
172,gwen_GN,جوين,google-translated,
173,gwendoline_GN,جويندولين,google-translated,
174,hal_GN,هال,google-translated,
175,harold_GN,هارولد,google-translated,
176,harriet_GN,هارييت,google-translated,
177,harry_GN,هاري,google-translated,
178,hazel_GN,هازل,google-translated,
179,heather_GN,هيذر,google-translated,
180,henry_GN,هنري,google-translated,
181,herb_GN,عشب,google-translated,
182,herbert_GN,هربرت,google-translated,
183,hilary_GN,هيلاري,google-translated,
184,hilda_GN,هيلدا,google-translated,
185,holly_GN,هولي,google-translated,
186,hubert_GN,هيوبرت,google-translated,
187,hugh_GN,هيو,google-translated,
188,hughie_GN,هيوجي,google-translated,
189,humphrey_GN,همفري,google-translated,
