wordnet_entry	translation	status	phrase	masc	pnt	concrete_n	concrete_pn	abstract_n	abstract_pn
abergele_LN	أبيرجيلي	google-translated	0		LN	"lin 'أبيرجيلي_N' = mkN nohum (wmkN {g = fem ; sg = ""أبيرجيلي"" ; pl = ""أبيرجيلي"" }) ;"	lin 'أبيرجيلي_LN' = mkLN 'أبيرجيلي_N' ;	fun 'أبيرجيلي_N' : N ;	fun 'أبيرجيلي_LN' : LN ;
abertillery_LN	أبرتيليري	google-translated	0		LN	"lin 'أبرتيليري_N' = mkN nohum (wmkN {g = fem ; sg = ""أبرتيليري"" ; pl = ""أبرتيليري"" }) ;"	lin 'أبرتيليري_LN' = mkLN 'أبرتيليري_N' ;	fun 'أبرتيليري_N' : N ;	fun 'أبرتيليري_LN' : LN ;
aireborough_LN	ايريبورو	google-translated	0		LN	"lin 'ايريبورو_N' = mkN nohum (wmkN {g = fem ; sg = ""ايريبورو"" ; pl = ""ايريبورو"" }) ;"	lin 'ايريبورو_LN' = mkLN 'ايريبورو_N' ;	fun 'ايريبورو_N' : N ;	fun 'ايريبورو_LN' : LN ;
alahärmä_LN	الاهرما	google-translated	0		LN	"lin 'الاهرما_N' = mkN nohum (wmkN {g = fem ; sg = ""الاهرما"" ; pl = ""الاهرما"" }) ;"	lin 'الاهرما_LN' = mkLN 'الاهرما_N' ;	fun 'الاهرما_N' : N ;	fun 'الاهرما_LN' : LN ;
alajärvi_LN	الاجارفي	google-translated	0		LN	"lin 'الاجارفي_N' = mkN nohum (wmkN {g = fem ; sg = ""الاجارفي"" ; pl = ""الاجارفي"" }) ;"	lin 'الاجارفي_LN' = mkLN 'الاجارفي_N' ;	fun 'الاجارفي_N' : N ;	fun 'الاجارفي_LN' : LN ;
alaska_range_LN	ألاسكا رينج	google-translated	1		LN	"lin 'ألاسكا رينج_N' = mkN nohum (wmkN {g = fem ; sg = ""ألاسكا رينج"" ; pl = ""ألاسكا رينج"" }) ;"	lin 'ألاسكا رينج_LN' = mkLN 'ألاسكا رينج_N' ;	fun 'ألاسكا رينج_N' : N ;	fun 'ألاسكا رينج_LN' : LN ;
alastaro_LN	الاستارو	google-translated	0		LN	"lin 'الاستارو_N' = mkN nohum (wmkN {g = fem ; sg = ""الاستارو"" ; pl = ""الاستارو"" }) ;"	lin 'الاستارو_LN' = mkLN 'الاستارو_N' ;	fun 'الاستارو_N' : N ;	fun 'الاستارو_LN' : LN ;
alavieska_LN	ألافييسكا	google-translated	0		LN	"lin 'ألافييسكا_N' = mkN nohum (wmkN {g = fem ; sg = ""ألافييسكا"" ; pl = ""ألافييسكا"" }) ;"	lin 'ألافييسكا_LN' = mkLN 'ألافييسكا_N' ;	fun 'ألافييسكا_N' : N ;	fun 'ألافييسكا_LN' : LN ;
alfreton_LN	ألفريتون	google-translated	0		LN	"lin 'ألفريتون_N' = mkN nohum (wmkN {g = fem ; sg = ""ألفريتون"" ; pl = ""ألفريتون"" }) ;"	lin 'ألفريتون_LN' = mkLN 'ألفريتون_N' ;	fun 'ألفريتون_N' : N ;	fun 'ألفريتون_LN' : LN ;
alloa_LN	ألوا	google-translated	0		LN	"lin 'ألوا_N' = mkN nohum (wmkN {g = fem ; sg = ""ألوا"" ; pl = ""ألوا"" }) ;"	lin 'ألوا_LN' = mkLN 'ألوا_N' ;	fun 'ألوا_N' : N ;	fun 'ألوا_LN' : LN ;
