wordnet_entry	translation	status	phrase	masc	pnt	concrete_n	concrete_pn	abstract_n	abstract_pn
adam_GN	آدم	google-translated	0	1.0	GN		"lin 'آدم_gn_PN' = mkPN ""آدم_N"" masc hum;"		fun 'آدم_gn_PN' : PN ;
adrian_GN	أدريان	google-translated	0	1.0	GN		"lin 'أدريان_gn_PN' = mkPN ""أدريان_N"" masc hum;"		fun 'أدريان_gn_PN' : PN ;
agatha_GN	أجاثا	google-translated	0		GN		"lin 'أجاثا_gn_PN' = mkPN ""أجاثا_N"" fem hum;"		fun 'أجاثا_gn_PN' : PN ;
aggie_GN	آجي	google-translated	0	1.0	GN		"lin 'آجي_gn_PN' = mkPN ""آجي_N"" masc hum;"		fun 'آجي_gn_PN' : PN ;
agnes_GN	أغنيس	google-translated	0		GN		"lin 'أغنيس_gn_PN' = mkPN ""أغنيس_N"" fem hum;"		fun 'أغنيس_gn_PN' : PN ;
alan_GN	آلان	google-translated	0	1.0	GN		"lin 'آلان_gn_PN' = mkPN ""آلان_N"" masc hum;"		fun 'آلان_gn_PN' : PN ;
albert_GN	ألبرت	google-translated	0	1.0	GN		"lin 'ألبرت_gn_PN' = mkPN ""ألبرت_N"" masc hum;"		fun 'ألبرت_gn_PN' : PN ;
alex_GN	أليكس	google-translated	0	1.0	GN		"lin 'أليكس_gn_PN' = mkPN ""أليكس_N"" masc hum;"		fun 'أليكس_gn_PN' : PN ;
alexandra_GN	الكسندرا	google-translated	0		GN		"lin 'الكسندرا_gn_PN' = mkPN ""الكسندرا_N"" fem hum;"		fun 'الكسندرا_gn_PN' : PN ;
alf_GN	ألف	google-translated	0	1.0	GN		"lin 'ألف_gn_PN' = mkPN ""ألف_N"" masc hum;"		fun 'ألف_gn_PN' : PN ;
alfred_GN	ألفريد	google-translated	0	1.0	GN		"lin 'ألفريد_gn_PN' = mkPN ""ألفريد_N"" masc hum;"		fun 'ألفريد_gn_PN' : PN ;
alice_GN	أليس	google-translated	0		GN		"lin 'أليس_gn_PN' = mkPN ""أليس_N"" fem hum;"		fun 'أليس_gn_PN' : PN ;
alison_GN	أليسون	google-translated	0		GN		"lin 'أليسون_gn_PN' = mkPN ""أليسون_N"" fem hum;"		fun 'أليسون_gn_PN' : PN ;
